Total duration and distance for all the activities,,,
,Month,Duration [days],Distance [km]
2016,JANUARY,0.711,378.676
2016,FEBRUARY,4.183,5581.72
2016,MARCH,5.298,3697.739
2016,MAY,7.773,19323.075
2016,JUNE,2.365,5005.925
2016,JULY,5.461,9002.768
2016,AUGUST,4.399,8748.946
2016,SEPTEMBER,3.566,2636.239
2016,OCTOBER,5.109,4972.6
2016,NOVEMBER,2.982,1100.491
2016,DECEMBER,2.82,6155.773
2017,JANUARY,2.444,2448.725
2017,FEBRUARY,5.097,18247.722
2017,MARCH,3.823,4087.884
2017,APRIL,5.452,1163.322
2017,MAY,12.668,1212.474
2017,JUNE,1.027,147.738
2017,JULY,1.215,168.304
2017,AUGUST,4.192,19230.724
2017,SEPTEMBER,2.181,1273.048
2017,OCTOBER,15.858,2187.679
2017,NOVEMBER,8.153,3946.056
2017,DECEMBER,15.224,2227.487
2018,JANUARY,21.098,144.046
2018,FEBRUARY,4.676,738.146
2018,MARCH,8.586,2088.153
2018,APRIL,6.679,2087.596
2018,MAY,12.168,1454.291
2018,JUNE,9.15,4153.987
2018,JULY,11.094,4870.808
2018,AUGUST,7.802,808.71
2018,SEPTEMBER,11.38,1704.292
2018,OCTOBER,7.634,3668.671
2018,NOVEMBER,1.644,1385.582
2018,DECEMBER,2.359,4584.819
2019,JANUARY,1.316,2053.085
2019,FEBRUARY,3.278,19177.107
2019,MARCH,1.175,805.044
2019,APRIL,2.125,3617.937
2019,MAY,2.749,668.159
2019,JUNE,4.769,1384.275
2019,JULY,3.57,3047.09
2019,AUGUST,1.837,2614.689
2019,SEPTEMBER,2.999,1539.403
2019,OCTOBER,1.995,1744.225
2019,NOVEMBER,3.726,520.98
2019,DECEMBER,1.142,2099.948
2020,JANUARY,2.039,2712.836
2020,FEBRUARY,2.027,1106.335
2020,MARCH,0.446,403.433
2020,APRIL,0.219,25.26
,,,
,,,
,,,
motorcycling,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,0,
2017,JANUARY,0,
2017,FEBRUARY,0,
2017,MARCH,0.528,
2017,APRIL,0,
2017,MAY,1.439,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,0,
2017,SEPTEMBER,0,
2017,OCTOBER,0,
2017,NOVEMBER,0,
2017,DECEMBER,0,
2018,JANUARY,0,
2018,FEBRUARY,0,
2018,MARCH,0,
2018,APRIL,0,
2018,MAY,0,
2018,JUNE,0,
2018,JULY,0,
2018,AUGUST,0,
2018,SEPTEMBER,0,
2018,OCTOBER,0,
2018,NOVEMBER,0,
2018,DECEMBER,0.99,
2019,JANUARY,0,
2019,FEBRUARY,0,
2019,MARCH,0,
2019,APRIL,0,
2019,MAY,0,
2019,JUNE,0,
2019,JULY,0,
2019,AUGUST,0,
2019,SEPTEMBER,0,
2019,OCTOBER,0,
2019,NOVEMBER,0,
2019,DECEMBER,0,
2020,JANUARY,0,
2020,FEBRUARY,0,
2020,MARCH,0,
2020,APRIL,0,
,,,
Travelled by ferry,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,0,
2017,JANUARY,0,
2017,FEBRUARY,0,
2017,MARCH,0,
2017,APRIL,0,
2017,MAY,0,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,0,
2017,SEPTEMBER,0,
2017,OCTOBER,0,
2017,NOVEMBER,0,
2017,DECEMBER,0,
2018,JANUARY,0,
2018,FEBRUARY,0,
2018,MARCH,0,
2018,APRIL,0,
2018,MAY,0,
2018,JUNE,0,
2018,JULY,0,
2018,AUGUST,0,
2018,SEPTEMBER,0,
2018,OCTOBER,0,
2018,NOVEMBER,0,
2018,DECEMBER,0.263,
2019,JANUARY,0,
2019,FEBRUARY,0,
2019,MARCH,0,
2019,APRIL,0,
2019,MAY,0,
2019,JUNE,0,
2019,JULY,0,
2019,AUGUST,0,
2019,SEPTEMBER,0,
2019,OCTOBER,0,
2019,NOVEMBER,0,
2019,DECEMBER,0,
2020,JANUARY,0,
2020,FEBRUARY,0.362,
2020,MARCH,0,
2020,APRIL,0,
,,,
Travelled by tram,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,5.773,
2016,MARCH,18.166,
2016,MAY,0.946,
2016,JUNE,6.238,
2016,JULY,2.201,
2016,AUGUST,1.623,
2016,SEPTEMBER,0.909,
2016,OCTOBER,1.45,
2016,NOVEMBER,1.826,
2016,DECEMBER,1.972,
2017,JANUARY,1.624,
2017,FEBRUARY,0.865,
2017,MARCH,2.142,
2017,APRIL,2.122,
2017,MAY,2.895,
2017,JUNE,0.599,
2017,JULY,0.63,
2017,AUGUST,0.074,
2017,SEPTEMBER,1.545,
2017,OCTOBER,0,
2017,NOVEMBER,0.918,
2017,DECEMBER,1.288,
2018,JANUARY,0.295,
2018,FEBRUARY,0.352,
2018,MARCH,1.186,
2018,APRIL,11.499,
2018,MAY,0.401,
2018,JUNE,0,
2018,JULY,0,
2018,AUGUST,1.917,
2018,SEPTEMBER,1.526,
2018,OCTOBER,1.69,
2018,NOVEMBER,0.257,
2018,DECEMBER,3.419,
2019,JANUARY,1.366,
2019,FEBRUARY,1.08,
2019,MARCH,2.169,
2019,APRIL,0.321,
2019,MAY,0.753,
2019,JUNE,0.502,
2019,JULY,1.459,
2019,AUGUST,2.167,
2019,SEPTEMBER,1.196,
2019,OCTOBER,0.806,
2019,NOVEMBER,0.785,
2019,DECEMBER,2.001,
2020,JANUARY,0.952,
2020,FEBRUARY,1.912,
2020,MARCH,0.18,
2020,APRIL,0,
,,,
Travelled by passenger vehicle,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,4.808,
2017,JANUARY,4.178,
2017,FEBRUARY,30.754,
2017,MARCH,19.529,
2017,APRIL,51.364,
2017,MAY,13.147,
2017,JUNE,1.596,
2017,JULY,0,
2017,AUGUST,3.986,
2017,SEPTEMBER,1.924,
2017,OCTOBER,2.576,
2017,NOVEMBER,3.818,
2017,DECEMBER,2.496,
2018,JANUARY,3.429,
2018,FEBRUARY,1.196,
2018,MARCH,13.503,
2018,APRIL,3.227,
2018,MAY,2.835,
2018,JUNE,16.331,
2018,JULY,22.147,
2018,AUGUST,7.636,
2018,SEPTEMBER,6.05,
2018,OCTOBER,21.253,
2018,NOVEMBER,2.19,
2018,DECEMBER,4.356,
2019,JANUARY,6.213,
2019,FEBRUARY,10.463,
2019,MARCH,2.477,
2019,APRIL,10.773,
2019,MAY,5.217,
2019,JUNE,17.004,
2019,JULY,19.307,
2019,AUGUST,6.712,
2019,SEPTEMBER,13.338,
2019,OCTOBER,0.763,
2019,NOVEMBER,0.116,
2019,DECEMBER,7.065,
2020,JANUARY,11.147,
2020,FEBRUARY,0.106,
2020,MARCH,2.362,
2020,APRIL,0,
,,,
skiing,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,0,
2017,JANUARY,0,
2017,FEBRUARY,0,
2017,MARCH,0,
2017,APRIL,0,
2017,MAY,0,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,0,
2017,SEPTEMBER,0,
2017,OCTOBER,0,
2017,NOVEMBER,0,
2017,DECEMBER,0,
2018,JANUARY,0,
2018,FEBRUARY,0,
2018,MARCH,0.131,
2018,APRIL,0,
2018,MAY,0,
2018,JUNE,0,
2018,JULY,0,
2018,AUGUST,0,
2018,SEPTEMBER,0,
2018,OCTOBER,0,
2018,NOVEMBER,0,
2018,DECEMBER,0,
2019,JANUARY,0,
2019,FEBRUARY,0,
2019,MARCH,0,
2019,APRIL,0,
2019,MAY,0,
2019,JUNE,0,
2019,JULY,0,
2019,AUGUST,0,
2019,SEPTEMBER,0,
2019,OCTOBER,0,
2019,NOVEMBER,0,
2019,DECEMBER,0,
2020,JANUARY,0,
2020,FEBRUARY,0,
2020,MARCH,0,
2020,APRIL,0,
,,,
unknown activity type,,,
Year,Month,Nr. of hours,
2016,JANUARY,0.257,
2016,FEBRUARY,1.087,
2016,MARCH,0,
2016,MAY,103.893,
2016,JUNE,2.573,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,0,
2017,JANUARY,0,
2017,FEBRUARY,24.668,
2017,MARCH,0,
2017,APRIL,0,
2017,MAY,171.792,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,36.918,
2017,SEPTEMBER,16.059,
2017,OCTOBER,336.435,
2017,NOVEMBER,148.501,
2017,DECEMBER,328.933,
2018,JANUARY,494.934,
2018,FEBRUARY,59.394,
2018,MARCH,131.588,
2018,APRIL,85.725,
2018,MAY,236.056,
2018,JUNE,149.44,
2018,JULY,201.958,
2018,AUGUST,140.75,
2018,SEPTEMBER,227.211,
2018,OCTOBER,118.01,
2018,NOVEMBER,0,
2018,DECEMBER,0,
2019,JANUARY,0,
2019,FEBRUARY,0,
2019,MARCH,0,
2019,APRIL,0,
2019,MAY,33.574,
2019,JUNE,73.399,
2019,JULY,0.506,
2019,AUGUST,0,
2019,SEPTEMBER,0,
2019,OCTOBER,6.293,
2019,NOVEMBER,73.051,
2019,DECEMBER,0,
2020,JANUARY,0,
2020,FEBRUARY,0,
2020,MARCH,0,
2020,APRIL,0,
,,,
Travelled by plane,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,12.672,
2017,JANUARY,7.454,
2017,FEBRUARY,12.398,
2017,MARCH,6.173,
2017,APRIL,0,
2017,MAY,0,
2017,JUNE,0,
2017,JULY,0,
2017,AUGUST,23.557,
2017,SEPTEMBER,0,
2017,OCTOBER,2.928,
2017,NOVEMBER,5.028,
2017,DECEMBER,1.876,
2018,JANUARY,0,
2018,FEBRUARY,0,
2018,MARCH,3.133,
2018,APRIL,31.029,
2018,MAY,0,
2018,JUNE,9.679,
2018,JULY,6.602,
2018,AUGUST,0,
2018,SEPTEMBER,0,
2018,OCTOBER,4.863,
2018,NOVEMBER,0,
2018,DECEMBER,12.319,
2019,JANUARY,2.586,
2019,FEBRUARY,24.659,
2019,MARCH,0,
2019,APRIL,2.66,
2019,MAY,0,
2019,JUNE,1.325,
2019,JULY,7.964,
2019,AUGUST,3.555,
2019,SEPTEMBER,0,
2019,OCTOBER,0,
2019,NOVEMBER,0,
2019,DECEMBER,1.95,
2020,JANUARY,3.199,
2020,FEBRUARY,0,
2020,MARCH,0,
2020,APRIL,0,
,,,
Travelled by bike,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,5.311,
2016,DECEMBER,12.998,
2017,JANUARY,8.856,
2017,FEBRUARY,13.408,
2017,MARCH,12.43,
2017,APRIL,16.471,
2017,MAY,30.001,
2017,JUNE,7.122,
2017,JULY,7.37,
2017,AUGUST,10.475,
2017,SEPTEMBER,5.343,
2017,OCTOBER,14.708,
2017,NOVEMBER,7.91,
2017,DECEMBER,10.381,
2018,JANUARY,1.293,
2018,FEBRUARY,10.277,
2018,MARCH,17.293,
2018,APRIL,14.713,
2018,MAY,18.481,
2018,JUNE,17.952,
2018,JULY,3.741,
2018,AUGUST,19.401,
2018,SEPTEMBER,8.742,
2018,OCTOBER,6.732,
2018,NOVEMBER,16.769,
2018,DECEMBER,15.945,
2019,JANUARY,6.037,
2019,FEBRUARY,10.136,
2019,MARCH,9.414,
2019,APRIL,14.911,
2019,MAY,15.789,
2019,JUNE,11.401,
2019,JULY,27.885,
2019,AUGUST,11.985,
2019,SEPTEMBER,19.571,
2019,OCTOBER,8.036,
2019,NOVEMBER,3.297,
2019,DECEMBER,2.854,
2020,JANUARY,10.884,
2020,FEBRUARY,4.797,
2020,MARCH,0.594,
2020,APRIL,4.467,
,,,
running,,,
Year,Month,Nr. of hours,
2016,JANUARY,0,
2016,FEBRUARY,0,
2016,MARCH,0,
2016,MAY,0,
2016,JUNE,0,
2016,JULY,0,
2016,AUGUST,0,
2016,SEPTEMBER,0,
2016,OCTOBER,0,
2016,NOVEMBER,0,
2016,DECEMBER,0,
2017,JANUARY,0,
2017,FEBRUARY,0,
2017,MARCH,0,
2017,APRIL,1.792,
2017,MAY,0.785,
2017,JUNE,0,
2017,JULY,4.691,
2017,AUGUST,4.105,
2017,SEPTEMBER,1.011,
2017,OCTOBER,0.944,
2017,NOVEMBER,0,
2017,DECEMBER,2.108,
2018,JANUARY,2.397,
2018,FEBRUARY,2.181,
2018,MARCH,23.452,
2018,APRIL,4.225,
2018,MAY,4.368,
2018,JUNE,3.011,
2018,JULY,3.092,
2018,AUGUST,7.839,
2018,SEPTEMBER,3.85,
2018,OCTOBER,3.076,
2018,NOVEMBER,0.667,
2018,DECEMBER,1.101,
2019,JANUARY,1.31,
2019,FEBRUARY,1.346,
2019,MARCH,1.046,
2019,APRIL,5.098,
