,Year,Month,Activity Duration [days],Activity Distance [km],Type.UNKNOWN_ACTIVITY_TYPE,Type.IN_TRAIN,Type.IN_TRAM,Type.IN_BUS,Type.IN_SUBWAY,Type.CYCLING,Type.WALKING,Type.FLYING,Type.IN_PASSENGER_VEHICLE,Type.MOTORCYCLING,Type.RUNNING,Type.SKIING,Type.IN_FERRY
0,2016,JANUARY,0.711,378.676,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016,FEBRUARY,4.183,5581.72,1.087,0.929,5.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2016,MARCH,5.298,3697.739,0.0,3.359,18.166,2.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2016,MAY,7.773,19323.075,103.893,1.365,0.946,2.821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2016,JUNE,2.365,5005.925,2.573,0.724,6.238,0.0,0.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2016,JULY,5.461,9002.768,0.0,2.222,2.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2016,AUGUST,4.399,8748.946,0.0,2.127,1.623,0.985,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2016,SEPTEMBER,3.566,2636.239,0.0,10.514,0.909,2.278,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2016,OCTOBER,5.109,4972.6,0.0,6.136,1.45,0.22,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2016,NOVEMBER,2.982,1100.491,0.0,5.632,1.826,2.951,0.766,5.311,6.223,0.0,0.0,0.0,0.0,0.0,0.0
10,2016,DECEMBER,2.82,6155.773,0.0,12.879,1.972,3.394,0.389,12.998,18.57,12.672,4.808,0.0,0.0,0.0,0.0
11,2017,JANUARY,2.444,2448.725,0.0,13.308,1.624,10.657,0.466,8.856,12.123,7.454,4.178,0.0,0.0,0.0,0.0
12,2017,FEBRUARY,5.097,18247.722,24.668,12.79,0.865,3.473,0.149,13.408,23.813,12.398,30.754,0.0,0.0,0.0,0.0
13,2017,MARCH,3.823,4087.884,0.0,19.587,2.142,5.95,2.017,12.43,23.392,6.173,19.529,0.528,0.0,0.0,0.0
14,2017,APRIL,5.452,1163.322,0.0,11.93,2.122,4.894,0.708,16.471,41.563,0.0,51.364,0.0,1.792,0.0,0.0
15,2017,MAY,12.668,1212.474,171.792,18.353,2.895,3.679,0.0,30.001,61.936,0.0,13.147,1.439,0.785,0.0,0.0
16,2017,JUNE,1.027,147.738,0.0,0.0,0.599,0.471,0.0,7.122,14.863,0.0,1.596,0.0,0.0,0.0,0.0
17,2017,JULY,1.215,168.304,0.0,0.0,0.63,0.0,0.0,7.37,16.477,0.0,0.0,0.0,4.691,0.0,0.0
18,2017,AUGUST,4.192,19230.724,36.918,6.304,0.074,3.657,0.071,10.475,11.468,23.557,3.986,0.0,4.105,0.0,0.0
19,2017,SEPTEMBER,2.181,1273.048,16.059,16.822,1.545,1.036,0.0,5.343,8.598,0.0,1.924,0.0,1.011,0.0,0.0
20,2017,OCTOBER,15.858,2187.679,336.435,10.629,0.0,1.738,0.0,14.708,10.642,2.928,2.576,0.0,0.944,0.0,0.0
21,2017,NOVEMBER,8.153,3946.056,148.501,10.442,0.918,2.934,0.171,7.91,15.953,5.028,3.818,0.0,0.0,0.0,0.0
22,2017,DECEMBER,15.224,2227.487,328.933,8.642,1.288,2.715,0.0,10.381,6.929,1.876,2.496,0.0,2.108,0.0,0.0
23,2018,JANUARY,21.098,144.046,494.934,0.0,0.295,0.553,0.0,1.293,3.444,0.0,3.429,0.0,2.397,0.0,0.0
24,2018,FEBRUARY,4.676,738.146,59.394,4.326,0.352,0.525,0.0,10.277,33.973,0.0,1.196,0.0,2.181,0.0,0.0
25,2018,MARCH,8.586,2088.153,131.588,3.874,1.186,0.275,0.0,17.293,11.627,3.133,13.503,0.0,23.452,0.131,0.0
26,2018,APRIL,6.679,2087.596,85.725,5.743,11.499,0.0,0.0,14.713,4.139,31.029,3.227,0.0,4.225,0.0,0.0
27,2018,MAY,12.168,1454.291,236.056,11.128,0.401,0.401,0.0,18.481,18.363,0.0,2.835,0.0,4.368,0.0,0.0
28,2018,JUNE,9.15,4153.987,149.44,14.385,0.0,0.864,0.49,17.952,7.445,9.679,16.331,0.0,3.011,0.0,0.0
29,2018,JULY,11.094,4870.808,201.958,18.457,0.0,3.55,0.0,3.741,6.707,6.602,22.147,0.0,3.092,0.0,0.0
30,2018,AUGUST,7.802,808.71,140.75,3.805,1.917,0.069,0.259,19.401,5.578,0.0,7.636,0.0,7.839,0.0,0.0
31,2018,SEPTEMBER,11.38,1704.292,227.211,16.187,1.526,1.743,0.064,8.742,7.743,0.0,6.05,0.0,3.85,0.0,0.0
32,2018,OCTOBER,7.634,3668.671,118.01,14.761,1.69,4.544,0.063,6.732,8.224,4.863,21.253,0.0,3.076,0.0,0.0
33,2018,NOVEMBER,1.644,1385.582,0.0,15.611,0.257,0.601,0.0,16.769,3.37,0.0,2.19,0.0,0.667,0.0,0.0
34,2018,DECEMBER,2.359,4584.819,0.0,8.585,3.419,0.313,0.0,15.945,9.335,12.319,4.356,0.99,1.101,0.0,0.263
35,2019,JANUARY,1.316,2053.085,0.0,9.447,1.366,2.135,0.0,6.037,2.496,2.586,6.213,0.0,1.31,0.0,0.0
36,2019,FEBRUARY,3.278,19177.107,0.0,24.474,1.08,0.354,1.523,10.136,4.626,24.659,10.463,0.0,1.346,0.0,0.0
37,2019,MARCH,1.175,805.044,0.0,8.301,2.169,0.0,0.0,9.414,4.785,0.0,2.477,0.0,1.046,0.0,0.0
38,2019,APRIL,2.125,3617.937,0.0,10.155,0.321,3.659,0.0,14.911,3.412,2.66,10.773,0.0,5.098,0.0,0.0
39,2019,MAY,2.749,668.159,33.574,4.474,0.753,0.0,0.034,15.789,4.376,0.0,5.217,0.0,1.749,0.0,0.0
40,2019,JUNE,4.769,1384.275,73.399,4.269,0.502,0.0,0.0,11.401,5.558,1.325,17.004,0.0,1.002,0.0,0.0
41,2019,JULY,3.57,3047.09,0.506,21.058,1.459,0.367,0.0,27.885,7.141,7.964,19.307,0.0,0.0,0.0,0.0
42,2019,AUGUST,1.837,2614.689,0.0,12.561,2.167,0.602,0.0,11.985,6.096,3.555,6.712,0.0,0.421,0.0,0.0
43,2019,SEPTEMBER,2.999,1539.403,0.0,14.402,1.196,0.417,0.0,19.571,22.432,0.0,13.338,0.0,0.608,0.0,0.0
44,2019,OCTOBER,1.995,1744.225,6.293,21.599,0.806,3.033,0.093,8.036,7.259,0.0,0.763,0.0,0.0,0.0,0.0
45,2019,NOVEMBER,3.726,520.98,73.051,5.911,0.785,4.533,0.0,3.297,1.722,0.0,0.116,0.0,0.0,0.0,0.0
46,2019,DECEMBER,1.142,2099.948,0.0,4.936,2.001,2.527,0.943,2.854,5.129,1.95,7.065,0.0,0.0,0.0,0.0
47,2020,JANUARY,2.039,2712.836,0.0,14.391,0.952,4.226,0.163,10.884,3.981,3.199,11.147,0.0,0.0,0.0,0.0
48,2020,FEBRUARY,2.027,1106.335,0.0,28.127,1.912,4.178,0.0,4.797,9.171,0.0,0.106,0.0,0.0,0.0,0.362
49,2020,MARCH,0.446,403.433,0.0,5.491,0.18,1.134,0.0,0.594,0.936,0.0,2.362,0.0,0.0,0.0,0.0
50,2020,APRIL,0.219,25.26,0.0,0.0,0.0,0.0,0.0,4.467,0.782,0.0,0.0,0.0,0.0,0.0,0.0
